filename,n,greedy_cost,min_cost_flow_cost,greedy_time,min_cost_flow_time,priority_cost,priority_time
input/fake_instances/fake_430_9.csv,430,2881.03,1945.47,0.775958,54.7934,2139.35,45.9666
input/fake_instances/fake_405_0.csv,405,3478.16,2288.55,0.704084,49.7385,2499.54,39.1914
input/fake_instances/fake_475_9.csv,475,4508.19,3121.57,0.869208,64.258,3437.89,59.4364
input/fake_instances/fake_440_0.csv,440,4175.87,2948.45,0.837125,53.1438,3236.4,48.2515
input/fake_instances/fake_160_8.csv,160,1652.5,1243.09,0.127625,6.11763,1336.51,6.01783
input/fake_instances/fake_155_1.csv,155,1524.03,1092.91,0.113042,4.68529,1164,6.737
input/fake_instances/fake_249_4.csv,249,1954.57,1401.91,0.286292,11.3756,1531.51,15.2766
input/fake_instances/fake_358_9.csv,358,2992.39,1902.45,0.55675,32.4948,2098.33,31.6729
input/fake_instances/fake_328_0.csv,328,2309.16,1693.93,0.44575,24.2314,1818.95,23.585
input/fake_instances/fake_125_8.csv,125,1547.7,1168.53,0.082334,3.33029,1283.17,3.71592
input/fake_instances/fake_110_1.csv,110,1279.97,1008.06,0.067208,2.73483,1076.66,2.65254
input/fake_instances/fake_136_2.csv,136,1334.2,1028.55,0.093084,3.92729,1106.44,4.09467
input/fake_instances/fake_173_2.csv,173,1909.98,1356.65,0.139,6.18746,1425.64,6.17071
input/fake_instances/fake_486_6.csv,486,3657.05,2477.23,0.894666,60.018,2728.19,50.4674
input/fake_instances/fake_292_7.csv,292,2937.94,1888.69,0.397583,19.5172,2057.87,19.742
input/fake_instances/fake_70_8.csv,70,923.475,699.123,0.02875,0.955625,762.036,1.22654
input/fake_instances/fake_45_1.csv,45,802.076,608.692,0.015333,0.734083,645.282,0.513791
input/fake_instances/fake_35_8.csv,35,891.409,664.26,0.012834,0.287833,713.564,0.284291
input/fake_instances/fake_418_5.csv,418,3788.05,2568.24,0.748167,48.6935,2827.98,44.7662
input/fake_instances/fake_26_2.csv,26,518.888,385.412,0.006167,0.178292,409.453,0.163375
input/fake_instances/fake_390_0.csv,390,2808.23,1940.57,0.82325,56.1591,2124.83,67.6249
input/fake_instances/fake_63_2.csv,63,1110.8,840.47,0.027083,1.3675,910.959,1.28763
input/fake_instances/fake_148_4.csv,148,1600.47,1077.94,0.112084,5.05837,1161.09,5.95062
input/fake_instances/fake_254_1.csv,254,2245.58,1594.9,0.330791,14.4445,1775.67,20.0864
input/fake_instances/fake_83_7.csv,83,1014.36,781.776,0.0435,1.98537,850.338,1.41933
input/fake_instances/fake_261_8.csv,261,2780.16,1892.63,0.307084,13.7002,2058.81,17.9838
input/fake_instances/fake_370_5.csv,370,2750.37,1941.08,0.543584,29.0332,2095.57,28.6553
input/fake_instances/fake_488_9.csv,488,2928.81,2037.76,0.852333,52.4358,2192.77,53.8763
input/fake_instances/fake_211_1.csv,211,1940.64,1374.74,0.205375,9.29438,1501.86,9.66154
input/fake_instances/fake_224_8.csv,224,2438.13,1521.57,0.283791,12.7755,1669.84,10.1771
input/fake_instances/fake_335_5.csv,335,2936.06,2000.96,0.477167,25.3486,2185.44,24.5008
input/fake_instances/fake_237_2.csv,237,2097.81,1480.61,0.252833,11.7008,1599.54,12.7191
input/fake_instances/fake_5_8.csv,5,199.959,183.745,0.001625,0.035959,183.745,0.01775
input/fake_instances/fake_313_6.csv,313,2617.11,1862.28,0.420209,19.4021,2056.83,25.0642
